Month,"HRC 
May-25,361,61,85,225,182,179,69,9,1,8,13%,11.40%,62,1.06,9.21,71.13,378.38,502.4,118.27,79.69,11.40%,-5.10%,5.30%,2.20%,8.80%,-0.70%,2.40%,42.4
Jun-25,346,63,90,195,190,156,68,9,1,8,13%,11.40%,62,1.16,8.88,74.84,453.22,634.9,132.46,75.29,11.40%,-4.60%,4.30%,2.00%,7.10%,,,37.4
Jul-25,316,52,86,212,170,146,65,10,1,9,15%,11.20%,57,1.05,9.73,85.7,538.92,761,126.09,76.63,11.20%,-4.30%,3.40%,0.20%,5.20%,-1.20%,2.40%,41
Aug-25,305,56,84,202,173,132,67,10,1,9,15%,10.90%,58,1.02,9.74,74.04,612.96,885.1,124.15,80.59,10.90%,-3.50%,2.50%,-0.50%,5.00%,-1.30%,1.50%,44.7
Sep-25,285,57,83,187,174,111,66,11,1,10,17%,10.30%,55,1.01,11.24,86.09,699.05,1016,130.86,85.52,10.30%,-2.60%,3.00%,-0.90%,3.90%,-1.70%,1.00%,43.7
Oct-25,270,53,80,177,165,104,66,9,1,8,14%,10.20%,58,0.95,9.02,75.46,774.51,1135.3,119.25,84.45,10.20%,-2.00%,2.30%,-0.30%,3.60%,-1.40%,-0.10%,42.2
Nov-25,261,46,75,156,149,112,63,10,1,9,15%,10.20%,54,0.92,9.61,82.04,856.55,1252.3,117.02,89.17,10.20%,-1.30%,1.80%,1.40%,0.10%,-1.40%,-0.40%,37
Dec-25,260,40,77,159,141,118,65,11,1,9,16%,10.00%,55,1.18,10.66,96.17,952.72,1381.3,129.02,96.08,10.00%,-1.00%,1.30%,2.70%,-0.30%,-1.90%,0.00%,40.6
Jan-25,272,41,77,167,143,129,63,10,1,9,15%,10.20%,57,,,,155.8,161.9,,98.19,10.20%,3.00%,5.90%,5.30%,,,,49
Feb-25,280,47,76,188,151,130,58,8,1,7,14%,10.20%,51,,,,,,,,,,,,,,,
Mar-25,346,56,83,232,172,173,71,10,1,9,14%,10.70%,62,1.27,9.98,85.76,241.56,261.6,99.68,94.54,10.70%,6.20%,5.80%,6.50%,-5.00%,1.70%,-2.00%,49.7
Apr-25,422,60,92,221,188,234,69,9,1,8,13%,10.50%,61,1.1,9.07,83.88,325.44,365.1,103.51,98,10.50%,7.20%,5.80%,5.50%,-9.80%,-1.20%,-3.50%,57.3
May-25,379,56,91,203,180,199,71,9,1,8,13%,9.60%,62,1.09,9.38,86.71,412.15,472,106.92,99.67,9.60%,7.00%,5.60%,5.60%,-11.00%,-4.10%,-6.50%,50.9
Jun-25,333,52,90,218,172,161,69,11,1,10,16%,9.00%,60,,,,,,,102.23,9.00%,,,,,,,45.1
Jul-25,361,57,96,235,187,174,67,10,1,9,15%,8.10%,57,7.59,67.41,582.05,582.05,709.8,709.78,105.6,8.10%,5.30%,4.80%,8.10%,-11.90%,-2.30%,-3.10%,50.2
Aug-25,381,61,113,231,211,170,69,9,1,8,13%,8.10%,69,1.11,8.94,87.63,669.68,709.8,0,101.39,8.10%,5.40%,4.60%,10.00%,-10.80%,-1.10%,-1.10%,50.1
Sep-25,377,57,187,241,279,98,68,9,1,8,13%,8.20%,60,1.13,8.77,92.87,762.55,824.7,114.92,103.87,8.20%,5.80%,3.20%,12.30%,,,,49.5
Oct-25,394,58,231,257,324,69,68,8,1,6,11%,8.30%,62,1.08,7.62,80.76,843.31,1060,235.3,105.74,8.30%,6.60%,3.30%,12.70%,-12.00%,2.30%,2.10%,50.7
Nov-25,450,73,300,254,417,33,66,8,1,7,12%,8.30%,59,1.11,7.94,91.93,935.24,1162.3,102.34,109.81,8.30%,6.50%,2.90%,13.30%,-10.50%,4.60%,3.10%,51
Dec-25,501,80,266,252,395,107,67,8,1,7,11%,8.10%,60,1.2,7.75,88.88,1024.12,1280.9,118.55,111.18,8.10%,6.90%,3.20%,13.10%,-11.90%,4.60%,4.50%,47.6
Jan-25,497,81,186,259,316,181,68,7,1,6,11%,8.90%,61,1.09,7.42,,,,,,8.90%,,,,,,,49.7
Feb-25,501,88,161,260,302,199,61,6,1,5,9%,8.90%,56,1.09,5.75,,175.34,184.2,,126.99,8.90%,8.90%,3.20%,11.10%,49.20%,18.60%,16.30%,51.4
Mar-25,494,88,157,242,297,197,71,8,1,6,11%,9.20%,65,1.3,7.56,95.54,270.88,298.2,114.03,134.56,9.20%,9.10%,-3.10%,9.00%,37.50%,16.30%,16.50%,50.6
Apr-25,428,71,261,220,375,54,73,6,1,5,9%,8.90%,67,1.08,6.49,82.21,353.09,400.9,102.71,133.33,8.90%,9.30%,-3.10%,6.90%,31.40%,12.40%,17.60%,49.1
May-25,426,61,177,225,275,151,74,7,1,6,9%,8.60%,66,1.11,6.98,91.48,444.57,508.5,107.63,140.27,8.60%,8.80%,-3.10%,6.40%,29.30%,10.50%,19.00%,54.8
Jun-25,444,57,147,263,237,207,75,7,1,6,9%,8.60%,67,1.13,6.81,94.43,539,636.6,128.09,144.13,8.60%,8.50%,3.40%,6.30%,20.50%,8.90%,17.90%,54.1
Jul-25,493,67,166,273,273,220,76,7,1,6,9%,8.30%,68,0.98,6.96,86.43,625.43,751.5,114.83,142.31,8.30%,7.90%,3.20%,6.00%,21.60%,10.90%,18.60%,54.9
Aug-25,543,76,197,278,317,226,78,6,1,6,8%,7.80%,69,0.99,6.5,88.55,713.98,863.9,112.43,135.12,7.80%,7.90%,3.10%,5.90%,17.40%,11.60%,18.70%,57.2
Sep-25,575,71,204,278,318,257,75,5,1,4,7%,7.50%,68,1.24,5.14,102.74,816.72,975.7,111.8,133.87,7.50%,8.10%,3.10%,4.90%,14.20%,13.30%,18.90%,53.7
Oct-25,551,60,183,305,279,271,76,5,1,4,7%,7.30%,68,0.95,4.98,79.51,896.23,1081.7,106,133.9,7.30%,7.80%,2.90%,5.30%,12.60%,13.70%,18.50%,52.3
Nov-25,545,64,188,371,290,256,70,5,1,4,8%,7.20%,62,1.14,5.35,94.5,990.73,1160.1,78.43,140.31,7.20%,7.50%,3.10%,4.10%,12.10%,12.60%,19.90%,53.1
Dec-25,564,72,239,387,354,210,70,6,1,4,8%,7.20%,62,1.2,5.67,84.01,1074.74,1229.4,69.26,145.67,7.20%,7.00%,3.00%,3.20%,9.50%,13.60%,26.40%,50.2
Jan-25,572,76,241,380,362,210,72,5,1,3,6%,7.90%,64,1.19,4.65,,100.34,,,151.69,7.90%,9.90%,,13.60%,,,,50.9
Feb-25,585,77,225,381,348,238,65,5,1,4,7%,7.90%,61,1.03,4.85,84.4,184.74,123.5,123.46,157.66,7.90%,9.90%,1.50%,-5.00%,-10.40%,4.50%,17.00%,49.5
Mar-25,592,69,217,353,328,264,73,6,1,4,8%,7.50%,69,1.23,5.65,85.77,270.51,189.5,66,161.31,7.50%,10.40%,1.50%,-2.60%,-35.40%,-2.30%,13.60%,50.6
Apr-25,579,65,188,375,292,287,75,6,1,5,9%,7.00%,71,1.05,6.48,82.89,353.4,255,65.54,157.88,7.00%,10.30%,1.60%,0.40%,-30.10%,2.30%,12.90%,51.7
May-25,588,66,184,350,289,299,81,7,1,6,8%,6.10%,75,1.13,6.88,94.6,448,321.3,66.26,159.52,6.10%,10.20%,2.00%,2.00%,-28.80%,4.40%,16.10%,50.6
Jun-25,593,65,199,337,302,290,80,7,1,6,9%,6.00%,74,1.04,6.94,82.7,530.7,388.2,66.96,156.11,6.00%,9.70%,2.50%,3.50%,-23.50%,3.10%,14.40%,51.6
Jul-25,579,64,185,378,288,291,81,6,1,5,7%,5.50%,76,1.03,5.89,89.95,620.65,447.2,59,154.32,5.50%,10.20%,3.00%,3.20%,-19.40%,2.00%,12.60%,54.8
Aug-25,574,67,182,385,290,284,80,6,1,5,7%,5.30%,75,1.06,5.88,89.27,709.92,510.8,63.58,147.92,5.30%,10.10%,3.60%,2.20%,-16.30%,1.60%,11.10%,53.4
Sep-25,571,69,199,387,308,262,81,6,1,5,7%,5.30%,76,1.2,5.95,93.42,803.34,579.9,69.13,145.01,5.30%,9.90%,3.90%,0.60%,-11.60%,2.10%,12.90%,52
Oct-25,550,73,217,382,334,217,82,6,1,4,7%,5.70%,78,1.14,5.5,88.35,891.69,641.8,61.91,143.63,5.70%,9.70%,4.30%,-0.40%,-7.90%,2.20%,10.60%,52.1
Nov-25,507,73,221,367,337,170,77,5,1,4,7%,5.90%,73,1.06,5.3,86.2,977.89,695,53.12,140.35,5.90%,9.70%,4.70%,-2.30%,-7.30%,2.90%,10.30%,45.2
Dec-25,480,69,226,384,337,143,75,6,1,5,7%,5.90%,68,1.01,5.56,,,763.4,68.41,139.74,5.90%,9.50%,5.20%,-4.10%,-7.50%,2.50%,10.00%,45.6
Jan-25,485,75,199,393,320,165,79,6,1,5,8%,6.10%,70,1.18,6.19,,91.26,,,139.74,6.10%,11.60%,,,,,,51.5
Feb-25,508,87,206,390,346,162,71,5,1,4,6%,6.10%,71,0.82,4.51,83.14,174.4,118.6,,146.88,6.10%,11.60%,6.80%,-15.10%,-21.40%,6.40%,6.20%,50.6
Mar-25,531,86,212,388,349,182,80,6,1,5,8%,6.30%,75,0.9,6.33,86.39,260.79,192.3,73.71,147.03,6.30%,11.80%,8.20%,-10.40%,14.30%,4.70%,13.30%,44.9
Apr-25,529,93,204,387,354,175,85,6,1,5,7%,6.10%,80,1,6.33,79.42,340.21,264.9,72.66,134.27,6.10%,11.90%,8.80%,-11.80%,13.80%,4.10%,12.50%,52.1
May-25,518,99,208,376,366,152,89,6,1,5,6%,5.60%,84,0.98,5.74,83.71,423.92,335.5,70.54,123.98,5.60%,11.20%,8.80%,-14.10%,6.60%,3.70%,11.00%,50
Jun-25,494,109,198,378,372,122,88,5,1,4,6%,5.80%,83,0.95,5.31,75.17,499.09,406.9,71.48,115.65,5.80%,10.90%,8.80%,-14.20%,7.40%,4.50%,10.20%,48.2
Jul-25,507,120,181,397,373,134,85,6,1,5,7%,5.70%,83,0.84,5.57,90.99,590.08,483.9,76.94,116.42,5.70%,10.50%,9.00%,-12.80%,5.00%,4.20%,8.70%,47.9
Aug-25,482,91,157,383,303,179,87,5,1,4,6%,5.50%,83,0.97,5.01,94.77,684.85,558.3,74.45,121.31,5.50%,10.50%,8.80%,-12.50%,7.00%,2.80%,7.90%,44.9
Sep-25,459,92,145,379,293,167,83,5,1,4,6%,5.40%,76,1.11,5.33,99.29,784.14,634.5,76.17,120.33,5.40%,10.50%,8.70%,-12.00%,10.00%,4.30%,6.40%,44.2
Oct-25,439,89,149,385,292,147,82,5,1,4,6%,5.20%,78,1.03,4.78,93.04,877.18,711.6,77.1,126.49,5.20%,10.30%,9.00%,-11.10%,8.40%,3.80%,6.20%,41.3
Nov-25,444,85,134,390,269,175,80,5,1,4,6%,5.20%,77,1.04,4.58,93.51,970.69,786.4,74.84,123.83,5.20%,10.20%,8.70%,-9.60%,10.70%,4.00%,5.80%,45.4
Dec-25,470,91,136,387,283,188,84,5,1,3,6%,5.40%,78,1.48,4.68,98.26,1068.95,844.4,57.92,126.96,5.40%,9.90%,8.70%,-8.00%,9.30%,8.10%,6.50%,43.1
Jan-25,495,94,150,390,301,194,80,4,1,3,5%,-25%,71,2.04,7.81,,,,,123.53,-24.50%,-16.30%,,,,,,47.1
Feb-25,462,86,156,385,294,168,75,4,1,3,5%,-25%,82,2.04,,,176.84,111.2,,121.7,-24.50%,-16.30%,2.90%,-45.80%,-22.90%,-37.40%,-40.20%,36.6
Mar-25,440,88,159,370,300,141,79,6,1,5,8%,-16%,74,1.14,6.48,85.6,262.44,187.9,76.71,116.95,-16.10%,-7.70%,2.60%,-44.60%,-28.50%,-19.80%,-27.90%,42.2
Apr-25,401,84,130,324,264,137,86,6,1,5,7%,-10%,74,1.01,6.32,95.96,358.4,262.7,74.84,113.98,-10.30%,-3.30%,2.50%,-32.30%,-15.40%,-16.50%,-24.80%,45.9
May-25,413,93,114,356,262,151,93,4,1,3,5%,-6%,90,1.28,4.4,86.5,444.9,337,74.23,107.81,-6.30%,-0.30%,2.30%,-23.60%,-15.10%,-12.70%,-23.10%,50.9
Jun-25,438,102,111,368,275,163,92,4,2,2,4%,-3%,92,1.88,3.7,101.52,546.42,414,76.98,107.81,-3.10%,1.90%,2.60%,-16.50%,-10.40%,-6.90%,-16.40%,49.3
Jul-25,457,108,113,379,285,172,95,4,3,2,4%,-2%,94,2.61,4.18,112.51,658.93,486.4,72.49,114.03,-1.60%,7.40%,3.00%,-9.70%,-9.10%,-2.00%,-14.00%,49.2
Aug-25,501,122,107,390,302,199,96,4,2,1,4%,0%,97,2.24,3.68,100.28,759.21,562.2,75.74,111.1,-0.30%,4.60%,3.30%,-9.00%,-11.80%,-1.90%,-12.20%,47
Sep-25,511,124,124,402,322,189,94,4,3,1,4%,0%,96,2.89,3.83,108.4,867.61,636.1,73.9,119.07,0.30%,5.60%,3.10%,-6.10%,-8.90%,1.70%,-11.70%,43.9
Oct-25,511,119,121,400,311,200,93,4,2,2,4%,2%,92,1.93,4.04,106.63,974.24,714.5,78.43,127.43,1.80%,6.30%,3.00%,-4.10%,-11.50%,4.00%,-10.70%,45.8
Nov-25,551,124,102,440,300,251,88,4,2,3,5%,3%,86,1.85,4.4,98.1,1072.34,789.2,74.72,126.05,2.60%,6.80%,3.20%,-2.70%,-10.30%,6.30%,-8.80%,49.3
Dec-25,643,156,101,455,351,293,91,5,1,3,5%,3%,89,1.38,4.85,97.17,1169.51,866.7,77.48,124.16,2.90%,7.00%,3.70%,-1.40%,-8.20%,8.40%,-8.30%,45.8
Jan-25,661,168,124,495,393,268,92,5,1,4,6%,35%,89,2.4,10.14,,,,,125.01,35.00%,38.30%,,,,,,44.3
Feb-25,663,165,144,498,408,255,83,5,1,4,6%,35%,80,2.4,,181.51,181.51,129.3,129.29,126.45,35.00%,38.30%,11.00%,89.90%,20.80%,83.00%,70.80%,48.6
Mar-25,733,167,116,521,382,351,94,8,1,6,8%,26%,90,1.32,7.54,101.93,283.44,234.6,105.26,131.33,25.60%,25.60%,11.20%,81.70%,43.80%,54.60%,49.80%,47.9
Apr-25,874,180,110,531,399,475,98,8,1,7,8%,20%,97,1.17,7.97,98.54,381.98,322.7,88.19,130.27,19.90%,21.60%,10.50%,53.40%,22.80%,40.90%,39.50%,45.4
May-25,970,206,125,598,455,515,100,5,1,4,5%,15%,96,1.21,5.27,89.79,471.77,405.8,83.04,126.22,15.40%,18.30%,10.10%,38.40%,21.40%,29.20%,33.40%,46.1
Jun-25,909,213,174,577,515,393,94,6,1,5,7%,13%,83,1.25,6.46,88.94,560.71,490.8,85.03,122.35,12.60%,15.00%,10.20%,26.40%,19.10%,18.80%,21.00%,45.1
Jul-25,905,211,209,587,546,358,87,6,1,5,7%,10%,86,1.05,5.67,88.32,649.03,570.2,79.37,128.13,10.30%,12.70%,9.00%,18.90%,13.80%,11.30%,17.30%,43.1
Aug-25,920,159,228,577,483,437,83,5,1,4,6%,9%,81,1.06,5.05,97.42,746.45,658.4,88.18,129.21,8.90%,10.90%,8.40%,13.50%,12.50%,6.70%,15.60%,41.8
Sep-25,909,120,350,581,542,368,74,5,1,4,7%,7%,71,1.26,4.92,95.5,841.95,743.4,85.01,133.22,7.30%,8.80%,7.90%,9.40%,7.00%,2.10%,13.00%,45
Oct-25,905,122,398,586,593,313,72,4,1,3,6%,6%,69,1.13,4.5,91.53,933.48,823.1,79.74,144.92,6.10%,7.20%,7.10%,7.10%,10.30%,0.30%,12.30%,38.3
Nov-25,786,95,368,525,520,266,69,4,1,3,6%,5%,68,1.42,4.36,104.88,1038.36,901.4,78.33,152.51,5.20%,6.00%,6.30%,5.30%,11.60%,-0.20%,11.40%,36.6
Dec-25,764,114,342,537,525,239,86,5,1,4,6%,5%,83,1,5.03,85.96,1124.32,980.5,79.09,156.26,4.90%,4.40%,5.20%,4.80%,8.00%,-0.40%,9.40%,38.7
Jan-25,749,131,409,580,618,132,84,4,1,4,5%,NA,81,1.01,8.23,,NA,NA,,153.1,NA,3.70%,NA,1.40%,NA,NA,NA,47.5
Feb-25,798,141,445,582,671,127,76,4,0,3,5%,12%,73,1.01,,,181.08,155.8,,158.87,12.20%,3.70%,1.80%,11.10%,-9.50%,-2.50%,3.90%,47.3
Mar-25,855,150,592,596,832,23,90,5,2,3,6%,9%,82,2.21,4.95,87.28,268.36,255.6,99.8,153.89,9.30%,0.70%,1.00%,4.90%,-9.80%,-5.90%,0.70%,44.3
Apr-25,853,151,472,620,713,140,94,5,1,4,5%,7%,89,0.96,4.98,86.02,354.38,330.8,75.24,145.18,6.80%,-2.70%,1.00%,-7.80%,-11.10%,-7.50%,-0.70%,40.5
May-25,763,134,502,584,717,46,97,8,1,7,8%,6%,92,0.81,7.76,92.47,446.85,423.9,93.09,134.54,6.20%,-4.00%,-1.00%,-7.20%,-13.10%,-8.10%,-0.80%,40.9
Jun-25,714,130,372,552,580,134,91,8,1,7,8%,6%,85,0.79,7.56,88.9,535.75,501.2,77.33,126.26,6.10%,-5.40%,-2.80%,-2.10%,-11.10%,-6.20%,1.10%,36.2
Jul-25,623,107,240,440,411,212,81,7,1,6,8%,6%,77,0.79,6.67,91.07,626.82,572.3,71.11,135.35,5.70%,-6.40%,-3.70%,-2.90%,-2.30%,-5.90%,1.10%,33
Aug-25,597,105,244,457,411,186,84,6,1,5,7%,6%,79,0.89,6.15,96.1,722.92,652.6,80.31,140.36,5.80%,-7.40%,-4.50%,6.10%,1.40%,-5.70%,1.90%,46.1
Sep-25,576,98,265,445,422,154,87,5,1,4,6%,6%,84,0.85,4.97,99.71,822.54,731.9,78.98,130.76,5.90%,-8.00%,-5.30%,8.10%,-0.80%,-3.10%,3.50%,46.6
Oct-25,550,92,290,402,437,113,81,5,1,4,6%,6%,76,0.77,5.18,94.98,917.42,809.9,72.68,129.44,5.80%,-8.80%,-5.70%,8.10%,-2.10%,-3.30%,3.20%,44.3
Nov-25,525,93,282,393,431,94,76,6,1,5,7%,5%,70,0.75,5.59,98.85,1016.1,889,79.54,132.78,5.30%,-9.80%,-6.50%,5.60%,-5.10%,-3.70%,2.00%,40.1
Dec-25,574,111,263,436,440,134,79,5,1,5,7%,5%,73,0.7,5.4,90.86,1106.86,967.9,78.61,131.86,5.10%,-10.00%,-7.20%,3.40%,-4.50%,-3.60%,1.80%,44.3
Jan-25,622,123,318,460,514,108,83,6,1,6,8%,6%,83,1.23,12.19,NA,NA,NA,NA,137.26,5.50%,-5.70%,-4.40%,-14.00%,-21.90%,7.90%,10.80%,46.6
Feb-25,647,126,369,463,570,76,78,6,1,5,7%,6%,75,1.23,,,194.2,150.35,,142.23,,-5.70%,-4.40%,-14.00%,-21.90%,7.90%,10.80%,50.1
Mar-25,666,127,345,462,548,118,96,8,1,7,8%,5%,85,0.68,7.89,100.14,294.34,243.267,92.91,134.61,5.10%,-5.80%,-5.20%,-5.10%,-7.90%,8.40%,12.60%,48.4
Apr-25,623,116,269,437,455,168,93,8,1,7,9%,5%,85,0.59,7.93,90.34,384.68,314.382,71.12,128.87,4.70%,-6.20%,-5.60%,4.30%,0.50%,11.00%,12.20%,45
May-25,561,105,231,400,399,163,90,8,1,8,9%,4%,82,0.63,8.36,96.07,480.75,391.352,76.97,127.43,4.00%,-7.20%,-6.20%,7.10%,-4.50%,12.40%,14.20%,35.2
Jun-25,542,113,231,403,411,131,91,8,1,7,8%,4%,84,0.61,7.51,95.39,576.14,476.759,85.41,127.42,3.80%,-7.90%,-6.60%,6.10%,1.60%,13.30%,16.60%,49.9
Jul-25,550,112,232,410,412,138,91,7,1,7,8%,3%,84,0.68,7.31,93.32,669.46,566.8,90.04,124.92,3.40%,-8.50%,-6.80%,4.50%,-0.30%,13.80%,17.90%,49.9
Aug-25,553,109,255,405,430,124,87,8,1,8,10%,3%,79,0.64,8.28,106.2,775.66,659.169,92.37,121.27,3.20%,-8.80%,-7.10%,4.80%,2.20%,14.50%,16.50%,45.2
Sep-25,537,121,306,403,499,38,82,8,1,7,10%,3%,75,0.64,8.06,100.99,876.65,742.766,83.6,113.85,3.10%,-9.10%,-7.10%,4.30%,2.80%,13.60%,13.70%,45.8
Oct-25,526,119,353,398,544,-18,79,8,1,7,10%,3%,72,0.67,7.73,99.39,975.84,825.758,82.99,111.37,2.90%,-9.30%,-7.30%,4.90%,4.00%,14.10%,12.40%,45.6
Nov-25,542,130,321,400,530,13,76,8,1,7,11%,3%,70,0.61,8.01,39.54,1015.38,904.027,78.27,114.98,2.90%,-9.40%,-7.20%,6.80%,4.40%,14.20%,12.60%,48.2
Dec-25,560,136,326,412,544,15,67,8,1,7,11%,3%,60,0.67,7.73,163.68,1179.06,990.555,86.53,119.92,3.00%,-7.20%,-7.20%,9.30%,1.60%,14.50%,13.50%,46
Jan-25,560,135,332,421,548,11,87,8,1,8,9%,4%,79,NA,NA,NA,NA,NA,NA,129.46,4.20%,-9.00%,-11.00%,51.20%,6.80%,12.80%,18.80%,46
Feb-25,550,125,315,417,515,35,81,8,1,7,9%,4%,74,1.13,15.91,,209.45,175.9,,138.93,4.20%,-9.00%,-11.00%,4.40%,6.80%,12.80%,18.80%,46
Mar-25,527,110,275,395,451,76,88,10,1,9,11%,5%,88,0.62,9.89,100.68,310.13,284.1,108.23,144.31,4.50%,-9.50%,-11.10%,5.30%,3.90%,12.80%,16.50%,44.2
Apr-25,519,111,239,374,416,103,86,9,1,9,11%,4%,69,0.66,9.22,73.99,384.12,368.9,84.78,147.59,4.20%,-9.80%,-10.80%,7.70%,2.40%,14.10%,17.60%,47.9
May-25,531,118,239,390,427,104,93,10,1,9,10%,4%,85,0.64,9.63,129.63,513.75,457.4,88.48,148.6,4.00%,-10.10%,-11.10%,6.60%,1.60%,12.10%,16.70%,49.8
Jun-25,518,107,249,378,420,98,92,9,1,8,10%,4%,83,0.58,8.75,97.42,611.17,554.1,96.75,149.26,3.90%,-10.10%,-12.00%,5.70%,1.30%,9.70%,13.80%,47.8
Jul-25,498,106,237,376,407,92,83,8,1,7,9%,4%,75,0.51,7.83,102.6,713.77,622.8,68.67,156.9,3.60%,-10.20%,-12.10%,4.50%,1.40%,7.30%,9.50%,42.5
Aug-25,464,99,206,346,363,100,78,9,1,9,12%,3%,68,0.51,9.5,101.18,814.95,696.5,73.73,160.32,3.40%,-10.20%,-12.00%,3.40%,1.10%,7.30%,7.80%,40.4
Sep-25,453,94,187,337,337,116,77,10,1,10,13%,3%,66,0.55,10.15,103.92,918.87,781.4,84.88,157.93,3.40%,-10.10%,-12.20%,2.70%,1.10%,7.50%,8.00%,49
Oct-25,497,104,204,354,370,127,82,11,1,11,14%,3%,70,0.54,11.18,103.84,1022.53,871.5,90.16,160.47,3.40%,-10.30%,-12.40%,3.00%,1.30%,8.50%,8.20%,54.6
Nov-25,485,102,204,353,368,117,78,9,0,9,12%,,,0.47,9.28,101.86,,,,156.17,,,,,,,,50.6
Dec-25,473,104,200,356,366,107,76,10,1,9,13%,,,,,,,,,,,,,,,,,
Jan-25,461,102,192,337,355,106,,,,,,,,,,,,,,,,,,,,,,
